campaign_id,campaign_name,adset_id,adset_name,date_start,date_stop,spend,impressions,reach,clicks,ctr,cpc,cpm,frequency,inline_link_clicks,actions.link_click,actions.page_engagement,actions.post_engagement,actions.video_view,publisher_platform,platform_position,actions.onsite_conversion.messaging_block,actions.onsite_conversion.post_unlike,actions.post_interaction_gross,actions.post_interaction_net,actions.post,actions.onsite_conversion.post_save,actions.onsite_conversion.post_net_save,actions.onsite_conversion.post_net_like,actions.post_reaction,actions.omni_search,actions.offsite_conversion.fb_pixel_search,actions.landing_page_view,actions.add_to_cart,actions.omni_landing_page_view,actions.onsite_web_view_content,actions.onsite_web_add_to_cart,actions.onsite_web_app_view_content,actions.view_content,actions.onsite_web_app_add_to_cart,actions.offsite_search_add_meta_leads,actions.omni_add_to_cart,actions.offsite_content_view_add_meta_leads,actions.onsite_conversion.messaging_conversation_started_7d,actions.search,actions.omni_view_content,actions.offsite_conversion.fb_pixel_view_content,actions.offsite_conversion.fb_pixel_add_to_cart,action_values.onsite_web_app_add_to_cart,action_values.offsite_conversion.fb_pixel_view_content,action_values.omni_view_content,action_values.add_to_cart,action_values.offsite_conversion.fb_pixel_add_to_cart,action_values.view_content,action_values.onsite_web_view_content,action_values.onsite_web_app_view_content,action_values.omni_add_to_cart,action_values.onsite_web_add_to_cart,actions.onsite_conversion.post_unsave,actions.web_in_store_purchase,actions.omni_purchase,actions.omni_initiated_checkout,actions.purchase,actions.offsite_conversion.fb_pixel_add_payment_info,actions.onsite_web_app_purchase,actions.offsite_conversion.fb_pixel_purchase,actions.web_app_in_store_purchase,actions.onsite_web_initiate_checkout,actions.onsite_web_purchase,actions.add_payment_info,actions.offsite_conversion.fb_pixel_initiate_checkout,actions.initiate_checkout,action_values.onsite_web_app_purchase,action_values.onsite_web_initiate_checkout,action_values.add_payment_info,action_values.omni_initiated_checkout,action_values.web_app_in_store_purchase,action_values.onsite_web_purchase,action_values.purchase,action_values.offsite_conversion.fb_pixel_initiate_checkout,action_values.offsite_conversion.fb_pixel_add_payment_info,action_values.offsite_conversion.fb_pixel_purchase,action_values.initiate_checkout,action_values.omni_purchase,action_values.web_in_store_purchase,actions.comment,actions.onsite_conversion.post_net_comment,actions.onsite_conversion.messaging_user_depth_3_message_send,actions.onsite_conversion.total_messaging_connection,actions.like,actions.onsite_conversion.messaging_user_depth_2_message_send,actions.onsite_conversion.messaging_first_reply,actions.onsite_conversion.messaging_conversation_replied_7d,actions.onsite_conversion.messaging_user_depth_5_message_send
120234709150710627,Isak | insta visit | Sep 10,120234709150700627,Advantage | sep,2026-04-13,2026-04-19,1.95993,157,144,4,2.547771,0.489982,12.483629,1.090278,4,4,46,46,42,facebook,facebook_reels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120234709150710627,Isak | insta visit | Sep 10,120234709150700627,Advantage | sep,2026-04-13,2026-04-19,13.539514,820,759,19,2.317073,0.712606,16.511603,1.080369,21,21,175,175,146,instagram,feed,1,1,8,9,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120234709150710627,Isak | insta visit | Sep 10,120234709150700627,Advantage | sep,2026-04-13,2026-04-19,0.129995,136,134,0,0,,0.955848,1.014925,0,,17,17,17,instagram,instagram_explore_grid_home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120234709150710627,Isak | insta visit | Sep 10,120234709150700627,Advantage | sep,2026-04-13,2026-04-19,815.58075,121652,111231,946,0.777628,0.862136,6.704212,1.093688,982,982,12119,12119,9651,instagram,instagram_reels,9,147,1486,1633,35,1,1,1303,1450,1,1,29,1,29,35,1,35,35,1,1,1,35,1,1,35,35,1,390,64630,64630,390,390,64630,64630,64630,390,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120234709150710627,Isak | insta visit | Sep 10,120234709150700627,Advantage | sep,2026-04-13,2026-04-19,562.929811,109486,105632,650,0.593683,0.866046,5.141569,1.036485,662,662,6911,6911,6248,instagram,instagram_stories,3,113,1,114,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,0.02,3,3,0,0,,6.666571,1,0,,,,,facebook,facebook_profile_feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,0.72999,309,308,0,0,,2.362426,1.003247,0,,12,12,12,facebook,facebook_reels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,0,4,4,0,0,,0,1,0,,,,,facebook,facebook_stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,2.589963,1031,1010,4,0.387973,0.647491,2.512088,1.020792,1,1,53,53,52,facebook,feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,0.269996,150,141,0,0,,1.799974,1.06383,0,,5,5,5,facebook,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,0.119998,64,64,0,0,,1.874973,1,0,,20,20,20,facebook,search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,160.18771,86896,86896,73,0.084008,2.194352,1.843442,1,53,53,3175,3175,3106,instagram,feed,,4,16,21,,2,1,10,14,,,29,,29,31,,31,31,,,,31,,,31,31,,,99200,99200,,,99200,99200,99200,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,0,4,4,0,0,,0,1,0,,,,,instagram,instagram_explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,17.439751,11487,11160,0,0,,1.518216,1.029301,0,,1363,1363,1361,instagram,instagram_explore_grid_home,,,2,2,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,1193.522941,613894,601660,263,0.042841,4.53811,1.944184,1.020334,108,108,11086,11086,10798,instagram,instagram_reels,,90,180,270,7,,,83,173,,,17,,17,36,,36,36,,,,36,,,36,36,,,111100,111100,,,111100,111100,111100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,0.369995,242,241,0,0,,1.528904,1.004149,0,,,,,instagram,instagram_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,22.909673,12195,12195,11,0.090201,2.082698,1.878612,1,10,10,213,213,203,instagram,instagram_stories,,4,,4,,,,0,,,,2,,2,1,,1,1,,,,1,,,1,1,,,3200,3200,,,3200,3200,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239074106540627,First Rain_Video_2,2026-04-13,2026-04-19,1.149984,620,620,0,0,,1.854812,1,0,,67,67,67,threads,threads_feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,0.32,188,187,0,0,,1.702128,1.005348,0,,,,,facebook,facebook_profile_feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,267.99,142368,137817,89,0.062514,3.011124,1.882375,1.033022,17,17,53,53,,facebook,facebook_reels,,4,36,40,,,,32,36,,,2,,2,2,,2,2,,,,2,,,2,2,,,6400,6400,,,6400,6400,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,1.7,812,786,1,0.123153,1.7,2.093596,1.033079,1,1,1,1,,facebook,facebook_reels_overlay,,,,,,,,,,,,1,,1,1,,1,1,,,,1,,,1,1,,,3200,3200,,,3200,3200,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,1.67,800,762,4,0.5,0.4175,2.0875,1.049869,3,3,3,3,,facebook,facebook_stories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,43.18,23064,22994,81,0.351197,0.533086,1.872182,1.003044,49,49,51,51,,facebook,feed,,,2,2,,,,2,2,,,9,,9,9,,9,9,,,,9,,,9,9,,,28800,28800,,,28800,28800,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,0.33,281,279,0,0,,1.174377,1.007168,0,,,,,facebook,instream_video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,0.29,215,202,0,0,,1.348837,1.064356,0,,,,,facebook,marketplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,0.22,86,86,0,0,,2.55814,1,0,,,,,facebook,search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,98.25,53746,53405,45,0.083727,2.183333,1.828043,1.006385,29,29,46,46,9,instagram,feed,,1,8,9,1,,,6,7,,,9,,9,15,,15,15,,,,15,,,15,15,,,44458.87,44458.87,,,44458.87,44458.87,44458.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,0.06,30,30,0,0,,2,1,0,,,,,instagram,instagram_explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,945.54,485428,479939,683,0.140701,1.384392,1.947848,1.011437,567,567,654,654,,instagram,instagram_reels,,47,87,134,6,,,34,81,,,129,,129,138,,138,138,,,,138,,,138,138,,,439200,439200,,,439200,439200,439200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,1.81,1157,1157,0,0,,1.564391,1,0,,,,,instagram,instagram_search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,38.41,20966,20482,24,0.114471,1.600417,1.832014,1.023631,22,22,22,22,,instagram,instagram_stories,,3,,3,,,,0,,,,2,,2,2,,2,2,,,,2,,,2,2,,,6400,6400,,,6400,6400,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,1.68,918,918,0,0,,1.830065,1,0,,,,,threads,threads_feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120239074106550627,First_Rain_Awareness,120239075209110627,First Rain_Video_1,2026-04-13,2026-04-19,0,0,0,0,,,,0,0,,,,,unknown,unknown,,,,,,,,,,,,,,,1,,1,1,,,,1,,,1,1,,,3200,3200,,,3200,3200,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
